listing_id,listing_source,source_listing_id,listing_url,street_address,cleaned_address,cleaned_unit_number,city,zipcode,county,neighborhood_region,latitude,longitude,home_status,home_type,bedrooms,base_price,base_price_date,emergency_peak_price,emergency_peak_price_date,latest_price,latest_price_date,fair_market_rent,price_ceiling,base_vs_peak_price,base_vs_latest_price,cant_calculate_price_ceiling,gouging_rule,was_ever_gouged,is_currently_gouged,was_ungouged,eo_n_17_25_applies,eo_overrides_ever_gouged,eo_overrides_currently_gouged,is_currently_unlisted,first_gouged_price,first_gouged_price_date,agent_name,agent_phone_number,broker_name,broker_phone_number,date_last_updated_at_source,scrape_job_name
ddf6cdb3512705856c68a7b6819551a9,zillow,20325270,https://zillow.com/homedetails/3731-W-59th-Pl-Los-Angeles-CA-90043/20325270_zpid/,3731 W 59th Pl,3731 W 59TH PL,,Los Angeles,90043,Los Angeles County,Park Mesa Heights,33.986523,-118.33896,FOR_RENT,SINGLE_FAMILY,4.0,,,13000,2025-01-10,11000,2025-01-17,3240.0,5184.0,,,False,fmr,True,True,False,False,,,False,13000,2025-01-10,,,,949-508-5453,,2025-01-17-1300
1413dbf629f530759c88f3aa17c005b7,zillow,20325798,https://zillow.com/homedetails/3636-W-61st-St-Los-Angeles-CA-90043/20325798_zpid/,3636 W 61st St,3636 W 61ST ST,,Los Angeles,90043,Los Angeles County,Park Mesa Heights,33.9842,-118.33654,FOR_RENT,SINGLE_FAMILY,1.0,,,3000,2025-01-13,3000,2025-01-13,1810.0,2896.0,,,False,fmr,True,True,False,False,,,False,3000,2025-01-13,,,,407-484-3236,,2025-01-17-1300
ad67dfcae94737e643bed4e2eec6b5de,zillow,20565091,https://zillow.com/homedetails/5471-Valley-Ridge-Ave-Los-Angeles-CA-90043/20565091_zpid/,5471 Valley Ridge Ave,5471 VALLEY RIDGE AVE,,Los Angeles,90043,Los Angeles County,,33.99128,-118.34506,FOR_RENT,SINGLE_FAMILY,3.0,,,6000,2025-01-13,6000,2025-01-13,2940.0,4704.0,,,False,fmr,True,True,False,False,,,False,6000,2025-01-13,Hemlane Leasing,213-668-7856,Manager,213-668-7856,,2025-01-17-1300
4221878a8963c7b0a1a036a0cc2d276d,zillow,20565592,https://zillow.com/homedetails/5549-Onacrest-Dr-Los-Angeles-CA-90043/20565592_zpid/,5549 Onacrest Dr,5549 ONACREST DR,,Los Angeles,90043,Los Angeles County,,33.990273,-118.355316,FOR_RENT,SINGLE_FAMILY,4.0,,,6700,2025-01-12,6700,2025-01-12,3240.0,5184.0,,,False,fmr,True,True,False,False,,,False,6700,2025-01-12,Alex Eychis,310-930-8535,Estate Properties,310-930-8535,,2025-01-17-1300
4ed53fd493559fb4d731367d3de54877,zillow,20565719,https://zillow.com/homedetails/5311-Onacrest-Dr-Los-Angeles-CA-90043/20565719_zpid/,5311 Onacrest Dr,5311 ONACREST DR,,Los Angeles,90043,Los Angeles County,,33.993507,-118.355644,FOR_RENT,SINGLE_FAMILY,3.0,4900.0,2024-11-28,5500,2025-01-09,5500,2025-01-09,2940.0,5390.0,0.12244897959183673,0.12244897959183673,False,tenpercent,True,True,False,False,,,False,5500,2025-01-09,Eric,310-968-9836,,310-968-9836,,2025-01-17-1300
b354392e0245c50c6d16c09e415e2044,zillow,20567379,https://zillow.com/homedetails/3886-Olympiad-Dr-Los-Angeles-CA-90043/20567379_zpid/,3886 Olympiad Dr,3886 OLYMPIAD DR,,Los Angeles,90043,Los Angeles County,,34.00039,-118.34286,FOR_RENT,SINGLE_FAMILY,3.0,,,7800,2025-01-10,7800,2025-01-10,2940.0,4704.0,,,False,fmr,True,True,False,False,,,False,7800,2025-01-10,Leticia Govea,310-528-1442,Compass,310-528-1442,,2025-01-17-1300
3fa027eaa79389693eff93465a49cc7a,zillow,443934582,https://zillow.com/homedetails/3649-Cazador-St-Los-Angeles-CA-90065/443934582_zpid/,3649 Cazador St,3649 CAZADOR ST,,Los Angeles,90065,Los Angeles County,Glassell Park,34.109005,-118.22683,FOR_RENT,SINGLE_FAMILY,2.0,,,4900,2025-01-12,4900,2025-01-12,2400.0,3840.0,,,False,fmr,True,True,False,False,,,False,4900,2025-01-12,Biljana Seki,714-654-2402,Keller Williams Advisors,714-654-2402,,2025-01-17-1300
b1bc7a076808b3e38f775a2bc8835cb3,zillow,448957063,https://zillow.com/homedetails/160-N-La-Peer-Dr-UNIT-105-Beverly-Hills-CA-90211/448957063_zpid/,160 N La Peer Dr UNIT 105,160 N LA PEER DR,UNIT 105,Beverly Hills,90211,Los Angeles County,North Doheny,34.06877,-118.386475,FOR_RENT,CONDO,2.0,,,14406,2025-03-31,14406,2025-03-31,3620.0,5792.0,,,False,fmr,True,True,False,False,,,False,14406,2025-03-31,Daniel Benmoshe,323-313-0172,"BZH Properties, Inc",323-313-0172,,2025-04-01-0002
5fd3d16dbbfce55c875b588618ba60ae,zillow,2078961019,https://zillow.com/homedetails/6222-West-Blvd-Los-Angeles-CA-90043/2078961019_zpid/,6222 West Blvd,6222 WEST BLVD,,Los Angeles,90043,Los Angeles County,Park Mesa Heights,33.98306,-118.334785,FOR_RENT,TOWNHOUSE,2.0,2250.0,2024-12-19,2700,2025-01-11,2700,2025-01-11,2290.0,2475.0,0.2,0.2,False,tenpercent,True,True,False,False,,,False,2700,2025-01-11,Affordable Housing,323-422-1735,Affordable Housing,323-422-1735,,2025-01-17-1300
9b2007f9f1e179fb7cbc7ff7ab8d17dc,zillow,2063419701,https://zillow.com/homedetails/5411-1-2-2nd-Ave-Los-Angeles-CA-90043/2063419701_zpid/,5411 1/2 2nd Ave,5411 2ND AVE,,Los Angeles,90043,Los Angeles County,Park Mesa Heights,33.981216,-118.31967,FOR_RENT,TOWNHOUSE,3.0,3052.0,2024-12-20,3915,2025-01-15,2748,2025-03-06,2940.0,3357.2,0.2827653997378768,-0.09960681520314547,False,tenpercent,True,False,True,False,,,False,3915,2025-01-15,Affordable Housing,310-902-6755,Affordable Housing,310-902-6755,,2025-03-07-0000
